X,Y,AGENCY_NAM,AGENCY_N_1,ADDRESS,PROGRAM
-76.98247,38.883912,Operation Sisters United,,403 16th St  SE,Shopping
-76.9116957,38.8836247,Gateway Village,,505 Suffolk Avenue,Direct Distributions
-76.99050859,38.8830645,The Holy Temple Church,,439 12th St SE,Shopping
-77.17805219,38.8829025,Winter Hill Apartments,,330-B South Virginia Ave,Direct Distributions
-76.8964403,38.8828791,St. Margaret of Scotland Catholic Church,Maryland Umbrella Group,"408 Addison Road, South",Shopping
-76.85193009,38.8826814,Theocracy International Ministries,,505 Hampton Park Blvd. Ste. T,Shopping
-77.44164539,38.8818424,Living Epistle Church of God in Christ,,4455 Brookfield Corporate Drive,Shopping
-77.1043389,38.8824586,St. Georges Episcopal Church,,915 N  Oakland Street,Shopping
-77.17474569,38.8811397,Homestretch Inc.,,303 S Maple St,Direct Distributions
-76.98904609,38.8810437,Potomac Gardens Community Site,,1229 G ST SE,Direct Distributions
-76.98387699,38.880659,Pearl Enterprises,,1437 Potomac Ave SE,Shopping
-76.995934,38.8795465,Little Lights Urban Ministries - Central Office,,760 7th St SE,Direct Distributions
-76.98999439,38.8792878,Little Lights Urban Ministries - 1212 Units,,1212 I St SE,Direct Distributions
-76.999496,38.8788771,Arthur Capper Residential Site,Near Southeast Seniors Community Group,900 5th ST SE,Direct Distributions
-76.9896909,38.878158,Little Lights Urban Ministries - Hopkins,,1000 12th Street SE,Direct Distributions
-77.2060773,38.8778618,Wexford Manor,,2802 Hollywood Rd.,Direct Distributions
-76.89426199,38.877286,Gethsemane United Methodist Church,,910 Addison Road,Shopping & Direct Distribution
-76.99998649,38.8766181,Carroll Apartments Community Site,,410 M ST SE,Direct Distributions
-77.16018899,38.875933,Falls Church Spanish SDA,,713 East Broad St,Shopping
-77.0132828,38.8759774,Greenleaf SW Community Site,,1200 Delaware AVE SW,Direct Distributions
-76.96705549,38.8746258,SOME,,2802 N St SE,Direct Distributions
-77.01248689,38.874454,James Creek Resident Council Inc,,100 N Street SW,Direct Distributions
-77.012465,38.87439599,King Greenleaf Recreation Center,,201 N Street SW,Direct Distributions
-76.92938,38.874253,Widows & Orphans of God Inc,,1238 Benning RD,Shopping
-76.9334872,38.87385,Community Outreach and Development Center CDC,,"4715 Marlboro Pike, Suite 104",Shopping & Direct Distribution
-76.92886499,38.87371,Freedom Way Missionary Baptist Church,,1250 Benning Road,Shopping
-77.11411249,38.873423,Lubber Run Community Center - Teens,Lubber Run Community Center - Youth,300 N. Park Dr.,Direct Distributions
-76.96726159,38.8725541,St. Francis Xavier,,"2800 Pennsylvania Ave, SE",Shopping
-76.8959478,38.8721535,Saint Paul- Gethsemane UMC,,1207 Addison Rd.,Direct Distributions
-76.974441,38.8720446,Orr Elementary School Food Pantry,,2200 Minnesota Avenue SE,Direct Distributions
-77.23826999,38.871416,Food For Others,,2938 Prosperity Avenue,Shopping & Direct Distribution
-76.8891026,38.8715988,Millwood Community Center,,1418 Karen Blvd,Direct Distributions
-76.947037,38.871639,Dupont Park SDA Church,,3985 Massachusetts Ave SE,Shopping
-76.9638478,38.8711371,Pennsylvania Ave Baptist Church,,"3000 Pennsylvania Ave, SE",Shopping
-77.10478679,38.8709568,Whitefield Commons Community Resource Center,,106 N. Thomas St.,Direct Distributions
-76.9421915,38.8706208,New Macedonia Baptist Church,,"4115 Alabama Ave., SE",Shopping
-76.8917249,38.870424,Faith Deliverance Temple,,6802 Walker Mill Road,Shopping
-77.14204699,38.870118,Lockwood/Elmwood House,,600 North Madison Street,Direct Distributions
-76.92019699,38.8699949,Oakcrest Community Center,,1300 Capitol Heights Blvd,Direct Distributions
-77.09630129,38.8699657,Thomas Jefferson Community Center - Teens,,3501 2nd St. S.,Direct Distributions
-76.94455769,38.8691902,Fort Davis Recreation Center,,1400 41st Street SE,Direct Distributions
-76.93060009,38.8691739,John Edgar Howard Community Center,,4400 Shell St,Direct Distributions
-76.9189281,38.8690711,"Builders, Inc",,5135 Marlboro Pike,Shopping
-76.89012399,38.868455,Walker Mill Community Development,Kreayola Kids,6801 Walker Mill Road,Shopping & Direct Distribution
-77.2816165,38.867364,Yorkville Cooperative,,3146 Draper Drive,Direct Distributions
-77.24992999,38.866714,Way of Faith Christian Training Center INC.,,8800 Arlington BLVD,Shopping
-76.9537134,38.8669714,Nehemiah's Food Pantry,,3456 Pennsylvania Ave SE,Shopping
-76.98437099,38.866967,Ambassador Baptist Church,,1408 Minnesota Ave SE,Direct Distributions
-77.0953594,38.8665081,Salvation Army Arlington Corps,,518 S. Glebe Rd,Shopping
-76.9810903,38.86622,Bread for the City SE Center,,1640 Good Hope Road SE,Shopping & Direct Distribution
-76.98364849,38.8660524,Ketcham Elementary,,1919 15th St. SE,Direct Distributions
-76.98979969,38.8659837,Family & Medical Counseling Service,,2041 MLK Jr. Ave. SE  Suite 303,Shopping
-76.98581499,38.8656397,St. Phillip Food Bank,,2001 14th St SE,Shopping
-76.979856,38.865555,SOME Inc.,,"1667 Good Hope Road, SE",Shopping & Direct Distribution
-76.92378999,38.865219,Victory Drug Center,,1804 Quarter Avenue,Shopping
-76.9556094,38.8646071,Anne Beers,,3600 Alabama Ave. SE,Direct Distributions
-76.99920699,38.8641137,Cedar Tree Academy,,701 Howard Road SE,Direct Distributions
-76.9449317,38.8640563,Pennsylvania Avenue SDA Church,,4010 Belt Road,Shopping
